Sno,Entity,Code,Year,Fertilizer Usage (kg/ha),Irrigated Land (%),Total Crop Yield (tons),Greenhouse Area (ha)
39,United States,USA,2001,13.27,41.89,28415,0.46
40,Qatar,QAT,1995,11.24,7.64,74751,1.42
41,Germany,GER,2020,37.89,4.15,183567,3.1
42,Nigeria,NGR,2020,35.74,32.09,43372,0.4
43,India,IND,1986,3.38,23.6,26607,0.47
44,Qatar,QAT,1993,10.36,45.39,60810,1.0
45,Canada,CAN,2008,16.97,18.16,67597,0.3
46,Peru,PER,1998,10.75,14.36,69804,0.78
47,Spain,ESP,1998,3.66,25.04,49831,1.16
48,Denmark,DNK,1981,0.21,22.8,3620,0.05
49,Turkey,TUR,2020,23.06,17.22,94450,3.2
50,India,IND,1994,4.79,34.69,32063,0.68
51,Denmark,DNK,1982,0.24,37.98,5395,0.05
52,Brazil,BRA,1990,7.51,42.65,15822,0.98
53,France,FRA,2009,3.75,48.64,125412,0.92
54,Kenya,KEN,2019,24.79,13.33,93396,2.91
55,Denmark,DNK,1997,9.95,35.8,44210,0.39
56,Turkey,TUR,1981,0.97,19.71,4576,0.04
57,Nigeria,NGR,2011,16.61,33.85,92581,1.54
58,Brazil,BRA,1987,1.1,23.8,22239,0.19
59,Kenya,KEN,2001,12.53,49.69,101345,1.06
60,Denmark,DNK,1985,4.28,36.45,22734,0.12
61,Peru,PER,1991,10.97,47.62,18456,0.66
62,Russia,RUS,2019,19.01,41.75,112821,2.72
63,Qatar,QAT,2015,13.59,45.15,170981,0.55
64,India,IND,1994,12.82,40.72,34852,1.24
65,Peru,PER,2007,7.35,22.96,67129,0.72
66,India,IND,1997,11.12,12.59,30262,0.51
67,Russia,RUS,1981,0.47,18.52,1457,0.07
68,Oman,OMN,1992,1.64,1.01,47534,0.63
69,Turkey,TUR,1994,5.78,26.2,57121,0.77
70,Qatar,QAT,1999,6.44,25.25,92644,0.41
71,Oman,OMN,2008,20.09,26.26,114622,2.31
72,Japan,JPN,2008,26.71,48.7,55255,1.83
73,Qatar,QAT,1982,0.68,45.57,2320,0.04
74,Oman,OMN,1998,14.95,8.09,88951,0.79
75,Argentina,ARG,1982,0.3,18.44,4723,0.17
76,Germany,GER,1993,7.6,21.2,29222,0.79
77,Japan,JPN,2019,6.38,18.03,180329,0.77
78,Argentina,ARG,1983,2.82,39.92,10021,0.13
79,Nigeria,NGR,1990,7.9,26.2,18594,0.32
80,India,IND,2010,20.76,28.6,136691,1.7
81,Mexico,MEX,2011,26.09,42.65,154176,2.66
82,United Kingdom,UK,2006,17.75,40.3,35014,1.28
83,Spain,ESP,2009,28.19,6.61,129021,1.42
84,India,IND,1981,0.74,35.7,2562,0.09
85,Canada,CAN,1988,7.46,21.77,24770,0.49
86,Canada,CAN,2007,15.27,14.73,125800,1.65
87,Argentina,ARG,2010,6.16,2.5,146805,1.01
88,Egypt,EGY,2013,18.99,24.36,67605,2.13
89,Kenya,KEN,1994,3.0,17.77,25919,0.87
90,Germany,GER,2004,15.2,12.58,31729,1.1
91,Japan,JPN,2015,18.7,34.73,113651,3.47
92,Germany,GER,1987,4.62,38.47,7380,0.63
93,Japan,JPN,1988,0.87,12.24,21180,0.62
94,India,IND,2016,9.91,2.47,46567,2.1
95,Nigeria,NGR,2018,20.6,42.44,99594,1.96
96,Brazil,BRA,2011,29.62,0.5,35951,0.83
97,Argentina,ARG,1996,7.12,46.86,69453,0.6
98,Russia,RUS,2014,16.39,31.38,62524,2.71
99,Egypt,EGY,2016,26.76,16.09,83276,1.83
100,Canada,CAN,1998,11.58,12.32,80643,1.61
101,Nigeria,NGR,2008,10.33,0.45,111581,0.65
102,India,IND,1986,2.82,11.77,11256,0.33
103,Canada,CAN,2007,7.99,6.89,34765,1.84
104,Argentina,ARG,1988,7.76,30.61,30901,0.45
105,Canada,CAN,2007,5.87,8.33,69195,2.43
106,Egypt,EGY,1985,2.17,26.43,20321,0.5
107,Qatar,QAT,2008,3.45,29.51,77873,0.57
108,Peru,PER,1996,4.79,14.9,38144,0.35
109,Canada,CAN,1995,12.04,1.75,42072,0.33
110,Argentina,ARG,2002,6.18,1.86,87873,1.57
111,Egypt,EGY,2010,5.16,1.32,138266,1.31
112,Peru,PER,1982,1.05,36.96,2398,0.15
113,Germany,GER,2000,2.18,15.9,61928,0.93
114,Japan,JPN,2005,4.41,39.82,28283,1.66
115,Qatar,QAT,2015,28.94,21.59,100577,2.78
116,Qatar,QAT,2016,28.6,22.65,163480,2.14
117,Kenya,KEN,2001,19.4,25.64,51373,1.23
118,Oman,OMN,1991,9.56,35.65,52027,0.2
119,United Kingdom,UK,1992,8.58,13.68,42269,0.56
120,Germany,GER,1990,1.47,6.08,47366,0.59
121,Spain,ESP,1995,12.07,27.8,60429,0.77
122,United States,USA,1987,6.03,16.35,9896,0.64
123,Denmark,DNK,2019,31.95,22.12,75059,3.57
124,Egypt,EGY,2019,21.75,32.35,100490,3.27
125,Germany,GER,1981,0.31,24.71,1680,0.04
126,Oman,OMN,2009,24.96,31.01,86409,2.16
127,Qatar,QAT,2009,21.88,27.21,83678,1.32
128,Mexico,MEX,1991,10.81,36.99,53075,0.34
129,Denmark,DNK,1989,2.16,35.3,24614,0.37
130,Oman,OMN,1990,3.03,26.71,41425,0.16
131,Germany,GER,1994,4.07,33.95,66746,0.56
132,United Kingdom,UK,1995,12.2,43.68,67619,0.77
133,Brazil,BRA,1996,4.29,21.61,29354,1.54
134,Kenya,KEN,2005,4.0,20.64,74602,0.96
135,Oman,OMN,1981,1.0,38.21,2390,0.09
136,France,FRA,1991,1.35,29.13,28593,0.34
137,Nigeria,NGR,2005,21.29,3.55,61080,0.68
138,Nigeria,NGR,2002,9.43,44.61,94719,1.25
139,United States,USA,1997,14.58,1.54,47745,1.2
140,Mexico,MEX,2011,18.57,37.42,95938,0.43
141,Germany,GER,2017,33.72,37.94,182402,1.11
142,Argentina,ARG,1982,1.87,47.66,2479,0.1
143,Argentina,ARG,2017,4.0,2.71,109217,1.47
144,United States,USA,1982,0.34,29.84,8192,0.15
145,Oman,OMN,2009,9.43,21.39,46534,1.62
146,Japan,JPN,1980,0.0,16.53,0,0.0
147,Canada,CAN,2009,26.08,4.52,56777,2.62
148,Germany,GER,2011,15.93,28.13,138558,1.13
149,France,FRA,2007,17.45,23.95,62326,2.05
150,India,IND,2000,5.39,5.23,46325,1.6
151,Japan,JPN,1992,9.89,30.62,40713,1.16
152,Egypt,EGY,2006,25.24,36.9,45090,1.43
153,Argentina,ARG,2015,11.96,38.36,74884,2.29
154,United Kingdom,UK,1986,3.27,45.27,15999,0.24
155,Kenya,KEN,2001,3.73,20.47,50705,1.49
156,Nigeria,NGR,1989,5.43,47.65,27895,0.47
157,Qatar,QAT,2018,21.0,43.27,129145,1.88
158,Japan,JPN,1994,3.22,14.83,45733,1.22
159,United States,USA,1994,6.97,7.96,50633,0.2
160,Spain,ESP,1983,1.2,21.77,6692,0.27
161,Spain,ESP,2011,17.66,20.09,46676,2.69
162,United States,USA,2002,13.8,28.79,88951,1.22
163,Nigeria,NGR,1985,0.54,29.17,22015,0.27
164,Germany,GER,2003,18.05,37.5,46644,0.98
165,Brazil,BRA,1999,14.09,25.49,49938,1.89
166,Canada,CAN,2016,15.47,5.24,107793,0.72
167,Spain,ESP,1999,2.81,42.91,59532,1.2
168,Egypt,EGY,1991,8.57,15.49,40017,0.78
169,Spain,ESP,2012,30.71,48.56,37325,3.01
170,Spain,ESP,2007,8.54,5.89,104919,2.17
171,Spain,ESP,1987,2.74,47.91,8735,0.48
172,Brazil,BRA,1980,0.0,4.55,0,0.0
173,Brazil,BRA,2016,22.29,11.55,155184,1.57
174,Egypt,EGY,2001,5.03,2.33,58902,0.47
175,Argentina,ARG,1985,2.1,35.26,7981,0.45
176,Argentina,ARG,2000,14.55,42.51,98802,1.55
177,United Kingdom,UK,2011,18.73,21.7,141271,2.42
178,Brazil,BRA,2014,15.23,46.43,138898,2.34
179,Nigeria,NGR,1994,6.7,29.51,37044,0.78
180,France,FRA,1984,2.42,31.5,6941,0.09
181,Denmark,DNK,1985,0.53,42.27,23828,0.2
182,Mexico,MEX,2004,4.1,14.84,75105,0.54
183,Spain,ESP,2019,34.83,17.71,171967,2.93
184,France,FRA,2008,4.76,45.3,66314,0.68
185,Egypt,EGY,1986,4.42,45.05,14046,0.44
186,United States,USA,2019,36.19,48.82,192744,2.82
187,Brazil,BRA,1992,4.12,45.09,37047,0.62
188,France,FRA,2017,16.04,6.37,57822,0.82
189,Mexico,MEX,1997,10.4,41.19,31937,0.65
190,Russia,RUS,1981,0.89,20.49,2927,0.04
191,Russia,RUS,1987,6.63,49.54,8189,0.51
192,Argentina,ARG,1990,7.66,23.61,28501,0.2
193,Japan,JPN,2012,5.69,27.69,85624,2.71
194,France,FRA,2017,25.98,26.49,152341,2.9
195,Russia,RUS,2006,12.2,16.09,62913,0.7
196,Canada,CAN,1999,9.95,3.75,93673,1.42
197,United States,USA,1991,1.59,44.78,18953,0.77
198,Denmark,DNK,2010,8.16,40.13,100918,2.32
199,United Kingdom,UK,2006,21.1,6.98,35328,0.7
200,Canada,CAN,2011,15.77,38.84,121999,0.75
201,United Kingdom,UK,1989,3.34,31.29,44811,0.28
202,United States,USA,1982,0.89,20.46,8553,0.09
203,Germany,GER,2006,22.59,12.7,83793,2.12
204,United States,USA,2014,26.32,42.99,99924,2.6
205,Japan,JPN,2010,10.35,35.01,130203,2.8
206,Argentina,ARG,1994,2.88,27.39,66414,0.21
207,India,IND,1995,4.9,30.48,74352,0.17
208,Germany,GER,1992,11.14,4.55,31033,0.88
209,Turkey,TUR,2014,21.2,23.7,168764,1.19
210,India,IND,1990,5.8,9.69,16237,0.4
211,Argentina,ARG,2000,12.74,10.42,40283,1.18
212,Mexico,MEX,1990,4.29,33.07,13560,0.19
213,Turkey,TUR,2009,23.97,45.56,60521,1.97
214,Kenya,KEN,2014,19.41,20.19,138439,1.33
215,Canada,CAN,2001,4.31,10.39,92645,1.41
216,Germany,GER,2017,8.0,32.44,152276,3.15
217,Russia,RUS,2010,17.5,43.56,105727,0.76
218,Russia,RUS,1993,12.26,37.42,39726,1.22
219,United States,USA,2003,8.68,43.44,88200,1.33
220,Spain,ESP,2011,27.36,26.83,79463,2.88
221,Brazil,BRA,2015,27.57,37.59,152783,1.0
222,Argentina,ARG,2011,10.01,7.0,114971,2.0
223,Russia,RUS,1994,1.86,17.41,53077,0.65
224,Nigeria,NGR,2014,6.52,19.48,106887,2.71
225,Egypt,EGY,1982,1.51,25.56,9081,0.13
226,Egypt,EGY,1995,4.2,46.45,30120,0.82
227,Japan,JPN,1984,1.74,43.71,10098,0.37
228,Japan,JPN,2000,11.03,6.73,82211,0.88
229,Canada,CAN,1989,6.78,8.64,26738,0.27
230,United Kingdom,UK,1998,3.63,17.88,82023,1.17
231,Russia,RUS,2004,11.18,14.54,57254,1.59
232,Russia,RUS,1983,1.61,30.74,7431,0.15
233,Canada,CAN,2008,16.43,45.14,127538,1.51
234,United States,USA,1998,15.06,48.11,51434,1.73
235,Argentina,ARG,1981,0.25,32.68,3064,0.08
236,United States,USA,1989,7.44,41.91,20979,0.18
237,Mexico,MEX,2004,17.37,26.26,50560,0.7
238,Spain,ESP,1999,11.41,10.42,68852,1.86
239,India,IND,1998,13.13,26.23,26628,1.36
240,Denmark,DNK,2002,10.36,27.75,99375,2.03
241,France,FRA,2003,5.16,37.12,94686,0.86
242,India,IND,1990,6.99,10.99,17629,0.77
243,United States,USA,2013,18.88,18.42,124610,2.45
244,Canada,CAN,2007,18.24,18.2,92084,0.99
245,Russia,RUS,1984,1.62,47.97,6952,0.24
246,Canada,CAN,1984,3.66,22.2,8371,0.27
247,Turkey,TUR,2000,12.57,37.75,52718,1.07
248,Peru,PER,1991,1.95,37.54,41766,0.93
249,Turkey,TUR,1983,1.51,13.28,10664,0.25
250,Brazil,BRA,1999,14.83,28.59,59449,1.64
251,Canada,CAN,2017,30.14,44.72,150724,3.05
252,Russia,RUS,2004,13.08,23.76,96762,1.29
253,Japan,JPN,1993,11.77,47.26,45128,0.58
254,Denmark,DNK,1990,3.41,10.72,41479,0.85
255,Argentina,ARG,2011,14.56,3.71,72448,1.68
256,Denmark,DNK,1990,9.09,44.57,45249,0.32
257,Argentina,ARG,1997,15.41,42.38,58813,0.95
258,Peru,PER,2006,18.65,49.63,111525,0.59
259,Russia,RUS,1997,14.84,33.97,54146,1.23
260,United States,USA,2002,3.96,46.83,41222,0.89
261,India,IND,1990,8.78,41.35,31696,0.33
262,Germany,GER,2000,7.77,42.22,49688,1.92
263,Canada,CAN,1984,1.04,28.46,15159,0.32
264,Spain,ESP,2002,6.94,19.12,63869,1.78
265,Argentina,ARG,2020,19.05,46.73,173778,2.65
266,Russia,RUS,2004,7.83,21.61,89094,2.05
267,Nigeria,NGR,2020,15.54,26.94,149527,3.13
268,United Kingdom,UK,1989,1.99,22.31,16817,0.58
269,Peru,PER,2001,7.7,28.24,103676,2.03
270,France,FRA,1998,11.07,23.53,78600,0.49
271,France,FRA,1980,0.0,2.4,0,0.0
272,Oman,OMN,1986,2.47,44.1,13925,0.28
273,United Kingdom,UK,1983,2.32,22.22,9427,0.17
274,India,IND,1980,0.0,29.45,0,0.0
275,Brazil,BRA,1994,10.94,6.96,44154,0.82
276,Argentina,ARG,2019,15.55,0.17,61758,2.54
277,Qatar,QAT,1991,8.47,12.26,35333,1.1
278,Argentina,ARG,2001,4.97,35.23,75492,2.05
279,Egypt,EGY,2001,4.56,4.96,53776,2.04
280,Russia,RUS,1996,6.58,45.44,47906,0.66
281,United Kingdom,UK,2008,23.15,10.75,126073,2.78
282,Denmark,DNK,1993,4.18,10.23,18645,0.66
283,Canada,CAN,1999,2.98,9.08,79171,1.65
284,Spain,ESP,2012,6.99,0.7,53856,0.94
285,Spain,ESP,1994,12.22,38.59,16055,0.78
286,Nigeria,NGR,1991,7.37,43.75,19165,1.07
287,Peru,PER,2019,12.79,30.71,158346,3.71
288,France,FRA,1999,11.4,9.41,49789,1.36
289,Canada,CAN,2009,16.67,14.26,130212,2.37
290,Japan,JPN,2017,25.53,23.8,114656,0.96
291,Egypt,EGY,1982,0.62,47.72,2178,0.15
292,Spain,ESP,2007,23.7,12.37,104405,1.77
293,Peru,PER,2005,9.46,36.58,36023,0.46
294,Canada,CAN,2009,21.02,21.97,120568,0.59
295,Argentina,ARG,1992,1.37,14.89,20068,0.24
296,United States,USA,1992,5.22,22.8,28581,0.9
297,Argentina,ARG,1981,0.42,3.56,4045,0.02
298,Canada,CAN,2016,21.21,39.93,173409,1.88
299,Turkey,TUR,2017,6.12,12.17,91972,1.56
300,Kenya,KEN,1981,0.81,36.27,4317,0.06
301,Canada,CAN,2015,10.36,3.42,61710,2.58
302,India,IND,2005,17.73,47.75,105717,1.79
303,Peru,PER,1990,8.23,9.65,36299,0.56
304,Turkey,TUR,1987,4.24,44.14,12396,0.36
305,Qatar,QAT,2019,29.91,40.47,86190,1.79
306,Brazil,BRA,2001,14.61,48.39,32068,1.84
307,Kenya,KEN,1999,7.98,23.89,48105,0.76
308,Brazil,BRA,1987,5.8,36.37,12702,0.23
309,Spain,ESP,2008,10.23,18.54,100127,2.15
310,India,IND,2019,23.95,9.22,194142,1.65
311,Argentina,ARG,2005,19.27,22.15,26200,2.16
312,Japan,JPN,2009,12.79,8.29,91746,1.15
313,Mexico,MEX,1996,5.96,49.1,52714,1.17
314,Russia,RUS,1999,9.75,4.81,88479,0.27
315,Germany,GER,1995,12.54,29.46,45360,0.67
316,Kenya,KEN,1986,5.62,31.32,19048,0.25
317,Canada,CAN,1995,8.86,26.9,43299,1.25
318,Turkey,TUR,2006,18.08,33.11,53966,2.52
319,Oman,OMN,2002,20.08,5.81,26930,1.13
320,Germany,GER,2003,4.34,27.75,60596,1.94
321,Denmark,DNK,1988,2.47,14.36,9682,0.58
322,Oman,OMN,2014,25.09,47.01,108866,3.3
323,United States,USA,1999,15.99,38.1,42354,1.58
324,Argentina,ARG,2016,31.37,48.63,112838,0.61
325,India,IND,1996,7.58,1.88,24595,1.19
326,Peru,PER,2010,5.41,14.26,141915,1.75
327,Russia,RUS,1987,3.46,9.77,32046,0.08
328,Peru,PER,1994,4.31,0.56,24639,0.46
329,Nigeria,NGR,2010,10.86,12.12,71213,2.79
330,United Kingdom,UK,2009,23.06,33.94,100165,2.71
331,Qatar,QAT,1999,3.19,11.55,26272,1.56
332,Brazil,BRA,2018,32.1,25.45,91894,3.74
333,Brazil,BRA,1991,5.33,44.39,22048,0.91
334,United Kingdom,UK,1996,10.18,34.69,74593,0.17
335,Spain,ESP,2009,5.24,19.73,127891,1.04
336,United States,USA,2008,11.3,18.62,92941,0.36
337,Kenya,KEN,1998,3.25,22.79,55464,0.33
338,France,FRA,1990,9.65,8.85,47229,0.3
339,Qatar,QAT,2013,27.28,31.7,156080,1.83
340,Mexico,MEX,1986,3.08,18.21,29263,0.52
341,Egypt,EGY,2013,9.94,42.62,49550,2.89
342,Argentina,ARG,1999,17.86,37.83,31202,1.24
343,India,IND,2017,15.18,30.53,137157,3.46
344,Nigeria,NGR,2003,5.63,18.21,72811,1.27
345,Nigeria,NGR,1989,5.46,10.5,9664,0.81
346,Egypt,EGY,2011,29.43,38.81,38684,1.58
347,Germany,GER,1994,1.45,24.32,63732,0.49
348,Denmark,DNK,2016,11.32,11.24,161117,3.33
349,France,FRA,1999,17.95,9.76,46152,0.85
350,Oman,OMN,1982,0.51,8.27,9128,0.11
351,United States,USA,2016,7.27,38.86,121489,1.43
352,Qatar,QAT,2019,23.91,11.45,164721,2.72
353,Canada,CAN,1987,6.13,26.33,18968,0.7
354,India,IND,2019,20.65,22.58,56690,0.48
355,United States,USA,2002,21.89,28.98,60167,2.0
356,Russia,RUS,2019,27.74,43.86,110338,0.4
357,Oman,OMN,1990,1.67,43.39,32037,0.43
358,Turkey,TUR,1987,6.95,22.55,9956,0.18
359,Kenya,KEN,2008,13.08,0.77,139037,2.19
360,United Kingdom,UK,2009,10.4,21.32,57319,0.42
361,Spain,ESP,1989,5.42,30.31,16147,0.54
362,United Kingdom,UK,2018,14.21,27.89,118074,1.39
363,Egypt,EGY,2007,4.8,32.57,85018,0.59
364,Japan,JPN,2015,3.54,7.7,96574,2.78
365,Nigeria,NGR,1992,6.06,32.33,49050,0.35
366,Argentina,ARG,2011,26.45,9.13,95065,0.93
367,Argentina,ARG,2015,21.53,37.53,120357,1.22
368,Qatar,QAT,2016,35.97,16.95,140219,2.26
369,Brazil,BRA,2005,8.95,35.49,27502,1.73
370,Russia,RUS,2001,7.4,2.39,68934,0.24
371,India,IND,1983,0.73,20.39,13610,0.1
372,Oman,OMN,2010,7.43,35.25,32086,1.46
373,Argentina,ARG,1997,6.06,11.34,44552,0.68
374,Russia,RUS,2017,30.1,39.76,174081,3.31
375,Germany,GER,2003,21.05,31.54,55490,1.86
376,Egypt,EGY,2002,21.51,29.38,62368,1.46
377,Canada,CAN,2001,6.49,17.68,103449,0.85
378,Nigeria,NGR,1981,0.89,24.12,1797,0.07
379,Russia,RUS,2010,11.86,29.87,37830,2.58
380,United Kingdom,UK,1990,2.02,23.62,44376,0.64
381,Egypt,EGY,2007,23.84,34.92,120794,2.18
382,Peru,PER,2011,20.85,21.68,89537,2.4
383,Egypt,EGY,1984,0.99,10.11,12227,0.25
384,Qatar,QAT,2017,18.01,10.7,160699,1.41
385,Spain,ESP,1989,3.23,0.29,35588,0.69
386,Peru,PER,2019,29.76,15.05,80363,1.12
387,United States,USA,2003,11.69,37.45,24554,1.84
388,Egypt,EGY,2014,33.67,39.71,99239,2.8
389,Nigeria,NGR,2002,3.28,10.12,97584,1.85
390,Russia,RUS,1996,6.71,47.95,73333,0.84
391,Russia,RUS,1980,0.0,25.12,0,0.0
392,Germany,GER,2010,16.58,45.85,135547,0.57
393,Denmark,DNK,2010,11.53,35.34,99605,2.31
394,Argentina,ARG,2013,24.96,36.12,91687,2.96
395,Egypt,EGY,1988,7.1,4.25,32795,0.55
396,Kenya,KEN,2001,19.84,11.0,83145,0.48
397,Egypt,EGY,1992,9.9,0.44,37830,1.13
398,Denmark,DNK,2004,20.77,35.81,32383,2.38
399,Brazil,BRA,1997,10.12,17.22,79973,0.83
400,United States,USA,1991,9.28,39.33,31046,0.7
401,Kenya,KEN,2019,14.55,16.95,95680,3.12
402,United Kingdom,UK,1996,7.34,40.97,56292,1.22
403,Argentina,ARG,1994,5.39,6.53,51734,1.36
404,Egypt,EGY,1994,7.29,8.67,25798,0.28
405,Oman,OMN,1994,5.0,17.04,60868,0.87
406,Denmark,DNK,2018,36.69,20.42,82070,2.75
407,Russia,RUS,1992,4.58,17.44,20960,1.08
408,Russia,RUS,1996,3.01,38.18,42009,1.42
409,Brazil,BRA,2011,17.8,4.85,121589,3.04
410,Spain,ESP,1988,1.21,17.56,38894,0.45
411,United States,USA,2019,7.78,41.86,165247,3.31
412,Nigeria,NGR,1999,5.65,3.34,90466,0.92
413,Turkey,TUR,2005,12.95,47.12,39060,1.2
414,Canada,CAN,2006,12.74,49.32,33402,0.85
415,Argentina,ARG,2000,16.39,4.43,64616,1.67
416,Argentina,ARG,1997,13.01,14.56,36740,1.68
417,United Kingdom,UK,1992,5.8,18.62,51746,0.4
418,Mexico,MEX,1995,6.01,38.82,55319,0.23
419,Egypt,EGY,1988,3.08,29.8,39063,0.67
420,Nigeria,NGR,1991,8.76,32.22,22210,0.72
421,Canada,CAN,2017,5.43,37.88,108896,3.57
422,Argentina,ARG,1998,2.01,5.9,54089,0.59
423,Argentina,ARG,1986,4.9,41.66,11740,0.1
424,India,IND,2014,18.0,35.28,114252,1.85
425,Kenya,KEN,1997,3.7,28.87,47143,0.3
426,Mexico,MEX,1995,4.68,44.49,41803,0.5
427,Nigeria,NGR,2018,35.69,35.02,93135,0.81
428,Oman,OMN,1983,2.62,10.08,3203,0.09
429,Nigeria,NGR,2004,17.73,21.49,74121,0.47
430,Peru,PER,2011,16.55,24.7,72570,2.97
431,Brazil,BRA,2019,22.16,2.76,39205,1.37
432,United Kingdom,UK,1992,11.73,47.73,26781,0.6
433,Turkey,TUR,1996,15.51,6.43,33832,1.45
434,Canada,CAN,2016,10.57,34.87,92656,2.55
435,Spain,ESP,1985,4.15,25.31,7637,0.33
436,India,IND,1998,5.0,1.28,54553,1.32
437,Kenya,KEN,1992,3.51,46.24,45237,1.02
438,Brazil,BRA,2005,17.71,42.59,88018,2.22
439,United Kingdom,UK,1993,6.04,26.21,54795,0.88
440,Japan,JPN,2010,28.15,11.45,84240,2.7
441,Germany,GER,1983,0.54,6.08,9229,0.17
442,Denmark,DNK,2018,21.29,18.17,161181,1.33
443,Turkey,TUR,1987,6.49,12.77,18975,0.62
444,Oman,OMN,2004,21.93,25.33,91353,1.41
445,Mexico,MEX,1992,2.89,48.32,32860,1.1
446,Denmark,DNK,2011,13.33,28.75,82799,0.42
447,Denmark,DNK,2017,24.32,44.5,149510,1.69
448,Kenya,KEN,2017,9.01,32.54,62875,3.53
449,Egypt,EGY,2007,26.22,23.76,63567,0.88
450,Japan,JPN,2009,26.77,42.73,55003,2.75
451,Canada,CAN,1982,0.5,23.57,4872,0.19
452,Spain,ESP,2007,5.64,43.43,51880,2.41
453,Canada,CAN,1982,0.35,14.58,6635,0.12
454,Russia,RUS,2013,30.31,6.44,138358,2.25
455,Denmark,DNK,1995,4.11,42.77,62196,1.32
456,Turkey,TUR,2001,9.97,29.37,51618,1.68
457,Spain,ESP,2011,15.62,44.45,153606,2.07
458,Germany,GER,2017,23.65,46.89,124890,3.64
459,Egypt,EGY,1987,1.15,2.68,18183,0.5
460,Nigeria,NGR,1987,2.13,25.05,30395,0.68
461,Spain,ESP,1985,4.69,18.75,19597,0.08
462,Oman,OMN,1993,11.93,31.29,51962,0.29
463,Canada,CAN,2011,24.9,39.68,55321,1.57
464,Japan,JPN,2014,3.99,14.03,97692,1.52
465,Spain,ESP,1989,3.55,27.84,40025,0.72
466,Spain,ESP,1982,1.33,35.44,6032,0.05
467,United States,USA,1991,3.82,6.72,41071,1.08
468,Russia,RUS,2010,27.56,40.7,100552,1.15
469,Oman,OMN,2008,18.77,30.31,122343,1.36
470,United Kingdom,UK,1984,0.66,47.48,8552,0.14
471,Spain,ESP,2004,22.03,16.98,79245,1.49
472,Denmark,DNK,2020,38.48,5.41,59717,0.61
473,Nigeria,NGR,2010,5.1,25.33,112825,0.7
474,Japan,JPN,2000,11.58,4.29,78557,1.54
475,United Kingdom,UK,1999,7.09,48.48,22255,0.51
476,Nigeria,NGR,2018,17.24,1.93,140720,1.19
477,Japan,JPN,2001,5.5,37.68,55833,1.71
478,Germany,GER,1983,1.86,26.26,4489,0.06
479,Peru,PER,1992,11.55,18.43,32155,0.59
480,United States,USA,1999,10.5,3.29,33761,0.23
481,United Kingdom,UK,1992,2.1,31.11,31946,0.49
482,Qatar,QAT,1996,10.53,29.26,40597,1.17
483,Russia,RUS,2015,14.22,14.04,138374,0.63
484,Egypt,EGY,2012,27.85,45.51,131099,2.88
485,Canada,CAN,1980,0.0,15.21,0,0.0
486,Nigeria,NGR,1994,3.83,22.49,15270,0.27
487,United States,USA,1992,3.26,27.19,56689,1.19
488,Denmark,DNK,1996,12.67,5.01,59918,0.59
489,Russia,RUS,2003,7.8,46.61,26145,0.4
490,Germany,GER,1987,5.53,18.73,29927,0.07
491,Oman,OMN,2006,7.42,4.04,46827,1.22
